GEOID,County,State,median_income,broadband,total_households,broadband_rate
17093,Kendall,Illinois,110474,42382,44526,95.18483582625882
17111,McHenry,Illinois,102836,110646,116329,95.11471774020237
17043,DuPage,Illinois,110502,329798,349497,94.36361399382541
17097,Lake,Illinois,108917,240027,256660,93.51944206343022
17197,Will,Illinois,107799,224935,241310,93.21412291243628
17037,DeKalb,Illinois,69022,36455,39314,92.72778145190009
17089,Kane,Illinois,100678,169377,183196,92.45671302866874
17133,Monroe,Illinois,101635,12654,13830,91.49674620390455
17063,Grundy,Illinois,93060,18549,20518,90.40354810410372
17119,Madison,Illinois,74800,98374,109385,89.9337203455684
17049,Effingham,Illinois,75380,12595,14030,89.77191732002852
17027,Clinton,Illinois,82314,12972,14463,89.69093549056213
17129,Menard,Illinois,81334,4639,5195,89.29740134744947
17161,Rock Island,Illinois,66768,54608,61192,89.24042358478232
17031,Cook,Illinois,81797,1859300,2084578,89.19311246688778
17131,Mercer,Illinois,71710,5715,6413,89.11585841259941
17007,Boone,Illinois,81638,17051,19155,89.01592273557817
17019,Champaign,Illinois,63091,74368,83777,88.76899387660097
17033,Crawford,Illinois,67614,6569,7411,88.63851032249359
17101,Lawrence,Illinois,53438,4793,5414,88.52973771702992
17079,Jasper,Illinois,71094,3329,3766,88.39617631439192
17179,Tazewell,Illinois,76704,47480,53812,88.23310785698357
17163,St. Clair,Illinois,70178,89251,101273,88.12911634887878
17203,Woodford,Illinois,85629,12952,14704,88.08487486398259
17143,Peoria,Illinois,64938,67801,77074,87.96870540000519
17113,McLean,Illinois,78329,60670,69072,87.83588139911977
17167,Sangamon,Illinois,74114,74018,84290,87.8135010084233
17201,Winnebago,Illinois,64363,101232,115449,87.68547150689915
17169,Schuyler,Illinois,66059,2391,2732,87.51830161054173
17147,Piatt,Illinois,87516,5971,6851,87.15515983068165
17085,Jo Daviess,Illinois,74954,9033,10385,86.98122291766973
17091,Kankakee,Illinois,68325,35567,40895,86.97151240983005
17199,Williamson,Illinois,65521,24986,28774,86.83533745742685
17023,Clark,Illinois,70625,5728,6597,86.82734576322571
17117,Macoupin,Illinois,68518,15096,17431,86.60432562675693
17099,LaSalle,Illinois,72281,38988,45092,86.46323072828883
17029,Coles,Illinois,56040,17579,20335,86.44701253995574
17141,Ogle,Illinois,79244,17885,20695,86.42184102440203
17045,Edgar,Illinois,56909,6570,7612,86.31108775617446
17173,Shelby,Illinois,68457,7585,8795,86.242183058556
17125,Mason,Illinois,62127,4923,5714,86.15680784039202
17013,Calhoun,Illinois,92095,1052,1222,86.08837970540098
17057,Fulton,Illinois,58617,11966,13902,86.07394619479211
17035,Cumberland,Illinois,69826,3584,4180,85.74162679425838
17061,Greene,Illinois,60976,3866,4514,85.64466105449712
17025,Clay,Illinois,57266,4649,5431,85.60117842018045
17103,Lee,Illinois,68459,11443,13382,85.51038708713196
17189,Washington,Illinois,75652,4889,5722,85.44215309332401
17107,Logan,Illinois,64188,9498,11122,85.3983096565366
17053,Ford,Illinois,60782,4890,5728,85.37011173184358
17077,Jackson,Illinois,45572,19709,23088,85.36469161469161
17105,Livingston,Illinois,70796,12472,14614,85.3428219515533
17081,Jefferson,Illinois,61102,12632,14805,85.32252617359
17145,Perry,Illinois,59286,6818,7994,85.28896672504378
17183,Vermilion,Illinois,54537,25740,30185,85.27414278615207
17015,Carroll,Illinois,60871,5523,6478,85.25779561593085
17039,De Witt,Illinois,64802,5661,6642,85.23035230352303
17005,Bond,Illinois,61603,5325,6256,85.11828644501279
17115,Macon,Illinois,62449,36859,43334,85.05792218581253
17159,Richland,Illinois,60404,5436,6401,84.92423058897047
17121,Marion,Illinois,60839,13130,15465,84.90139023601682
17017,Cass,Illinois,64907,4359,5135,84.88802336903602
17073,Henry,Illinois,69912,17163,20261,84.7095404965204
17155,Putnam,Illinois,77526,2094,2473,84.67448443186413
17177,Stephenson,Illinois,61943,16437,19469,84.42652421798758
17075,Iroquois,Illinois,62439,9557,11333,84.32895085149563
17187,Warren,Illinois,64650,5667,6722,84.3052662897947
17001,Adams,Illinois,64962,23400,27770,84.26359380626576
17157,Randolph,Illinois,68870,9814,11671,84.08876702938909
17195,Whiteside,Illinois,64536,19500,23215,83.99741546413956
17175,Stark,Illinois,62284,1921,2289,83.92311052861513
17021,Christian,Illinois,59253,11332,13534,83.72986552386583
17123,Marshall,Illinois,69818,4156,4964,83.72280419016921
17083,Jersey,Illinois,79104,6676,7984,83.61723446893788
17011,Bureau,Illinois,65894,11702,14011,83.5200913567911
17047,Edwards,Illinois,59386,2201,2653,82.96268375424049
17185,Wabash,Illinois,53650,3968,4784,82.94314381270902
17171,Scott,Illinois,73013,1684,2032,82.8740157480315
17071,Henderson,Illinois,65651,2200,2662,82.64462809917356
17055,Franklin,Illinois,53471,13310,16130,82.51704897706138
17135,Montgomery,Illinois,61863,9273,11265,82.31691078561919
17009,Brown,Illinois,72288,1660,2021,82.13755566551212
17051,Fayette,Illinois,57113,6413,7832,81.8820224719101
17109,McDonough,Illinois,50434,9628,11760,81.87074829931973
17137,Morgan,Illinois,65175,10731,13125,81.76
17067,Hancock,Illinois,65044,6138,7515,81.67664670658684
17065,Hamilton,Illinois,61520,2718,3350,81.13432835820895
17139,Moultrie,Illinois,71676,4723,5822,81.12332531776022
17149,Pike,Illinois,58029,4680,5815,80.48151332760102
17095,Knox,Illinois,53291,16670,20765,80.27931615699494
17191,Wayne,Illinois,53107,5497,6853,80.2130453815847
17041,Douglas,Illinois,74186,6257,7821,80.0025572177471
17087,Johnson,Illinois,65203,3271,4133,79.1434793128478
17127,Massac,Illinois,62584,4267,5482,77.83655600145933
17193,White,Illinois,53097,4352,5669,76.76838948668195
17059,Gallatin,Illinois,54626,1600,2096,76.33587786259542
17069,Hardin,Illinois,57155,1128,1484,76.01078167115904
17165,Saline,Illinois,54945,7614,10032,75.89712918660287
17151,Pope,Illinois,62500,996,1364,73.02052785923753
17181,Union,Illinois,56420,4911,6914,71.02979461961239
17003,Alexander,Illinois,43523,1068,1826,58.48849945235487
17153,Pulaski,Illinois,43227,1057,1862,56.766917293233085
